Model,Plant,Month,U.S.A,Canada,Mexico,Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China
Morning / Picanto,Korean Plant,January,0,0,0,5518,174,1452,1110,1073,459,0,0
Pride / Rio,Korean Plant,January,0,0,0,3130,61,68,347,512,608,0,0
K3,Korean Plant,January,0,95,57,0,171,13,175,5,333,0,0
K5 / Optima,Korean Plant,January,0,0,0,0,774,0,1116,1,3,0,0
Stinger,Korean Plant,January,466,22,10,101,10,0,0,0,180,0,0
"K7,8 / Cadenza",Korean Plant,January,0,0,0,0,27,0,51,0,0,0,0
K9,Korean Plant,January,0,0,0,0,16,0,0,0,0,0,0
Stonic,Korean Plant,January,0,0,0,4580,146,148,498,97,540,0,0
Seltos,Korean Plant,January,3994,984,0,0,368,363,657,0,620,0,0
Soul,Korean Plant,January,4844,420,381,0,123,220,1,0,4,0,0
Soul EV,Korean Plant,January,0,25,0,190,0,7,0,0,0,0,0
Niro,Korean Plant,January,2615,0,110,4195,14,46,9,18,148,0,0
Niro EV,Korean Plant,January,1098,0,0,2914,8,6,0,6,95,0,0
Niro Plus,Korean Plant,January,0,0,0,0,0,0,993,3,111,0,0
Niro Plus EV,Korean Plant,January,0,0,0,0,0,0,213,0,39,0,0
EV6,Korean Plant,January,1110,75,0,2346,7,0,74,17,320,29,0
EV9,Korean Plant,January,0,0,0,0,0,0,0,0,0,0,0
Sportage,Korean Plant,January,2049,776,0,0,1094,824,0,0,2077,0,0
Sorento,Korean Plant,January,1220,22,0,1126,501,216,1374,67,1242,0,0
Mohave / Borrego,Korean Plant,January,0,0,0,0,16,0,0,0,0,0,0
Carnival / Sedona,Korean Plant,January,1662,297,0,0,40,91,175,12,1660,0,0
Bongo / Frontier,Korean Plant,January,0,0,0,0,8,823,1162,185,163,0,0
Bus,Korean Plant,January,0,0,0,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,January,0,0,,6925,502,0,58,12,0,0,0
Cee'd CUV,Slovakia Plant,January,0,0,,3750,62,5,1,66,0,0,0
Sportage,Slovakia Plant,January,0,0,,11329,602,455,2199,456,0,0,0
Pride / Rio (SC),Mexico Plant,January,2184,463,4050,0,0,831,89,1,0,0,0
K3,Mexico Plant,January,8190,1068,991,0,0,115,0,0,0,0,0
Pride / Rio (FB),Russia Plant(incl. CKD Sales),January,0,0,,0,85,0,0,0,0,0,0
K3 (CKD),Russia Plant(incl. CKD Sales),January,0,0,,0,125,0,0,0,0,0,0
Soul (CKD),Russia Plant(incl. CKD Sales),January,0,0,,0,41,0,0,0,0,0,0
Seltos (CKD),Russia Plant(incl. CKD Sales),January,0,0,,0,145,0,0,0,0,0,0
Sorento (CKD),Russia Plant(incl. CKD Sales),January,0,0,,0,0,0,0,0,0,0,0
Optima / K5,US Plant,January,3368,109,,0,0,0,0,0,0,0,0
Sportage,US Plant,January,6553,0,,0,0,0,0,0,0,0,0
