Car,Region,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Passenger Car,US,-,-,"3,342","6,359","8,136","7,818","8,203","7,420","6,946","5,154","1,140","6,458"
Recreational Vehicle,US,"34,743","28,607","30,867","35,909","28,968","27,885","26,926","25,099","21,101","24,986","13,917","17,383"
Commercial Vehicle,US,-,-,-,,-,-,,-,-,-,-,-
Special Vehicle,US,,-,-,,-,-,,-,-,-,-,-
"CKD(excl, Special Vehicle)",US,,,,,,,,,,,,
CKD(Special Vehicle),US,,,,,,,,,,,,
Total,US,34743,28607,"34,209","42,268","37,104","35,703","35,129","32,519","28,047","30,140","15,057","23,841"
Passenger Car,Canada,48,36,30,-,82,48,39,-,-,-,-,-
Recreational Vehicle,Canada,"5,192","3,698","4,013","5,821","6,095","5,465","6,515","4,505","3,429","4,400","4,112","6,702"
Commercial Vehicle,Canada,-,-,-,,-,-,,-,-,-,-,-
Special Vehicle,Canada,,-,-,,-,-,,-,-,-,-,-
"CKD(excl, Special Vehicle)",Canada,,,,,,,,,,,,
CKD(Special Vehicle),Canada,,,,,,,,,,,,
Total,Canada,5240,3734,4043,5821,6177,5513,6554,4505,3429,4400,4112,6702
Passenger Car,Mexico,1,-,-,-,-,-,-,-,-,-,-,-
Recreational Vehicle,Mexico,969,647,812,637,806,211,620,389,505,490,501,"1,016"
Commercial Vehicle,Mexico,-,-,-,,-,-,,-,-,-,-,-
Special Vehicle,Mexico,,-,-,,-,-,,-,-,-,-,-
"CKD(excl, Special Vehicle)",Mexico,,,,,,,,,,,,
CKD(Special Vehicle),Mexico,,,,,,,,,,,,
Total,Mexico,970,647,812,637,806,211,620,389,505,490,501,"1,016"
Passenger Car,EU+EFTA,"7,790","6,255","6,223","4,885","7,154","6,600","6,277","4,837","5,139","7,238","5,108","2,660"
Recreational Vehicle,EU+EFTA,"18,950","13,854","17,293","14,746","14,543","14,391","12,634","12,535","16,699","19,915","19,829","16,206"
Commercial Vehicle,EU+EFTA,-,-,-,,-,-,-,-,-,-,-,-
Special Vehicle,EU+EFTA,,3,-,,14,-,1,-,-,-,-,10
"CKD(excl, Special Vehicle)",EU+EFTA,,,,,,,,,,,,
CKD(Special Vehicle),EU+EFTA,,,,,,,,,,,,
Total,EU+EFTA,"26,740","20,112","23,516","19,631","21,711","20,991","18,912","17,372","21,838","27,153","24,937","18,876"
Passenger Car,E.Europe/CIS,"1,151",434,615,295,476,391,219,102,254,112,144,63
Recreational Vehicle,E.Europe/CIS,"2,662","2,822","3,194","2,880","3,337","2,499",639,474,895,"1,728","1,318","3,093"
Commercial Vehicle,E.Europe/CIS,"1,178",861,"1,197",403,90,56,10,-,5,3,114,46
Special Vehicle,E.Europe/CIS,10,-,25,-,-,-,-,100,100,-,20,-
