Model,Plant,Month,Korea,U.S.A,Canada,Mexico,*Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China
Morning / Picanto,Korea Plants,January,1214,0,0,0,4726,68,1564,1274,748,315,0,0
Pride / Rio,Korea Plants,January,0,0,0,0,82,2,0,148,2,0,0,0
Ray,Korea Plants,January,4020,0,0,0,0,0,0,0,0,0,0,0
Ray EV,Korea Plants,January,110,0,0,0,0,0,0,0,0,0,0,0
K3,Korea Plants,January,1419,0,9,39,0,71,10,749,104,1030,0,0
K5 / Optima,Korea Plants,January,3336,0,0,0,0,772,5,926,13,2,0,0
Stinger,Korea Plants,January,0,-1,7,0,33,2,0,13,0,0,0,0
"K7,8 / Cadenza",Korea Plants,January,2917,0,0,0,0,30,0,110,0,0,0,0
K9,Korea Plants,January,175,0,0,0,0,12,0,0,0,0,0,0
Stonic,Korea Plants,January,0,0,0,0,5338,475,127,770,115,755,0,0
Seltos,Korea Plants,January,3944,4000,1726,0,0,359,551,513,0,992,0,0
Soul,Korea Plants,January,0,3271,175,188,0,22,170,0,0,24,0,0
Soul EV,Korea Plants,January,0,0,0,0,76,0,1,0,0,0,0,0
Niro,Korea Plants,January,1220,1226,102,136,3440,0,89,238,34,158,0,0
Niro EV,Korea Plants,January,19,836,258,0,2606,51,8,160,3,60,0,0
Niro Plus,Korea Plants,January,0,0,0,0,0,0,0,766,3,0,0,0
Niro Plus EV,Korea Plants,January,2,0,0,0,0,0,0,14,1,1,0,0
EV3,Korea Plants,January,0,0,0,0,0,0,0,0,0,0,0,0
EV4,Korea Plants,January,0,0,0,0,0,0,0,0,0,0,0,0
EV6,Korea Plants,January,29,1213,438,7,2315,14,15,40,13,280,29,18
EV9,Korea Plants,January,449,1408,50,0,1296,11,8,12,1,151,0,0
Sportage,Korea Plants,January,5934,4739,1608,608,0,789,707,0,0,2613,0,0
Sorento,Korea Plants,January,9284,1280,0,0,1461,108,117,980,40,767,0,0
Mohave / Borrego,Korea Plants,January,291,0,0,0,0,30,0,0,0,0,0,0
Carnival / Sedona,Korea Plants,January,7049,3013,382,0,0,43,68,264,22,915,0,0
Bongo / Frontier,Korea Plants,January,3055,0,0,0,0,13,993,1671,189,145,0,0
Bongo EV,Korea Plants,January,19,0,0,0,0,0,0,0,0,0,0,0
Bus,Korea Plants,January,122,0,0,0,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,January,0,0,0,0,6445,362,6,0,16,15,0,0
Cee'd CUV,Slovakia Plant,January,0,0,0,0,2970,142,6,0,120,0,0,0
Sportage,Slovakia Plant,January,0,0,0,0,13961,949,382,1359,616,0,0,0
Pride / Rio (SC),Mexico Plant,January,0,929,358,4480,0,0,969,135,61,9,0,0
K3,Mexico Plant,January,0,8977,753,797,0,0,148,0,0,17,0,0
Pride / Rio (FB),*Russia Plant(HMMR),January,0,0,0,0,0,1,0,0,0,0,0,0
Optima / K5,US Plant,January,0,3288,15,0,0,0,16,0,0,0,0,0
Sportage,US Plant,January,0,5255,0,0,0,0,10,0,0,0,0,0
Sorento,US Plant,January,0,4740,388,159,0,0,25,0,0,0,0,0
Telluride,US Plant,January,0,6916,254,0,0,0,4,109,0,0,0,0
EV9,US Plant,January,0,0,0,0,0,0,0,0,0,0,0,0
Pegas,China Plants,January,0,0,0,0,0,0,1446,2855,191,155,0,380
Forte,China Plants,January,0,0,0,0,0,0,0,0,0,0,0,2354
K3,China Plants,January,0,0,0,0,0,0,0,0,0,0,0,875
K4,China Plants,January,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,China Plants,January,0,0,0,0,0,0,0,0,0,0,0,115
KX1,China Plants,January,0,0,0,0,0,0,0,0,0,141,0,446
Sonet,China Plants,January,,,,,,,,,,,,
KX3 / Seltos,China Plants,January,0,0,0,1765,0,0,764,918,7,61,0,854
Zhipao,China Plants,January,0,0,0,0,0,0,0,0,0,0,0,654
KX5 / Sportage,China Plants,January,0,0,0,0,0,0,0,0,0,0,0,1446
Carnival,China Plants,January,0,0,0,0,0,0,0,0,0,0,0,166
EV5,China Plants,January,0,0,0,0,0,0,0,0,0,0,0,709
Sonet,India Plant,January,0,0,0,0,0,0,970,393,534,158,7003,0
Seltos,India Plant,January,0,0,0,25,0,0,126,0,202,80,7025,0
Carens MPV,India Plant,January,0,0,0,0,0,0,241,434,48,51,4597,0
Carnival (CKD),India Plant,January,0,0,0,0,0,0,0,0,0,0,0,0
Morning / Picanto,CKD,January,0,0,0,0,0,0,0,50,0,1,0,0
Pegas,CKD,January,0,0,0,0,0,0,0,0,0,48,0,0
K3,CKD,January,0,0,0,0,0,145,0,0,0,44,0,0
K4,CKD,January,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,CKD,January,0,0,0,0,0,0,0,0,0,2,0,0
"K7, K8 / Cadenza",CKD,January,0,0,0,0,0,0,0,0,0,0,0,0
Sonet,CKD,January,0,0,0,0,0,0,240,0,0,530,0,0
Stonic,CKD,January,0,0,0,0,0,0,0,19,0,0,0,0
Seltos,CKD,January,0,0,0,0,0,322,0,0,0,563,0,0
Soul,CKD,January,0,0,0,0,0,287,0,0,0,0,0,0
EV5,CKD,January,0,0,0,0,0,0,0,0,0,0,0,0
EV9,CKD,January,0,0,0,0,0,0,0,0,0,0,0,0
Sportage,CKD,January,0,0,0,0,0,890,0,120,0,91,0,0
Sorento,CKD,January,0,0,0,0,0,0,0,54,0,35,0,0
New Carens,CKD,January,0,0,0,0,0,0,0,0,0,0,0,0
Carens MPV,CKD,January,0,0,0,0,0,0,0,0,0,6,0,0
Carnival / Sedona,CKD,January,0,0,0,0,0,0,0,0,0,568,0,0
Bongo / Frontier,CKD,January,0,0,0,0,0,0,279,0,0,502,0,0
Bongo,Special Vehicle,January,0,0,0,0,0,72,0,0,0,3,0,0
Millitary,Special Vehicle,January,75,0,0,0,0,10,0,0,0,0,0,0
Bus,Special Vehicle,January,0,0,0,0,0,0,0,0,0,0,0,0
Bongo (CKD),Special Vehicle,January,0,0,0,0,0,0,0,0,0,0,0,0
Millitary (CKD),Special Vehicle,January,0,0,0,0,0,0,0,72,0,0,0,0
Bus (CKD),Special Vehicle,January,0,0,0,0,0,0,0,0,0,26,0,0
Morning / Picanto,Korea Plants,Febuary,1140,0,0,0,3529,174,1754,471,775,384,0,0
Pride / Rio,Korea Plants,Febuary,0,0,0,0,86,1,1,58,0,1,0,0
Ray,Korea Plants,Febuary,3160,0,0,0,0,0,0,0,0,0,0,0
Ray EV,Korea Plants,Febuary,812,0,0,0,0,0,0,0,0,0,0,0
K3,Korea Plants,Febuary,1315,0,38,31,0,117,19,766,189,1163,0,0
K5 / Optima,Korea Plants,Febuary,2970,0,0,0,0,735,12,719,2,1,0,0
Stinger,Korea Plants,Febuary,0,0,4,0,10,0,1,14,0,0,0,0
"K7,8 / Cadenza",Korea Plants,Febuary,2165,0,0,0,0,11,0,94,0,0,0,0
K9,Korea Plants,Febuary,191,0,0,0,0,14,0,0,0,0,0,0
Stonic,Korea Plants,Febuary,0,0,0,0,4496,429,143,208,267,1015,0,0
