Model,Vehicle Type,Trade,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Morning,Ordinary Vehicle,Domestic,"1,214","1,140","1,416","1,421",907,985,"1,335",910,968,"1,464","1,467","2,608"
Ray,Ordinary Vehicle,Domestic,"4,130","3,972","4,692","4,460","4,456","3,574","4,384","3,710","3,363","3,278","4,753","4,219"
K3,Ordinary Vehicle,Domestic,"1,419","1,315","1,460","1,336",995,"1,341","1,373",588,4,,,
K5,Ordinary Vehicle,Domestic,"3,336","2,970","3,577","3,168","2,405","2,932","2,702","2,690","2,277","3,030","2,645","2,105"
EV4,Ordinary Vehicle,Domestic,,,,,,,,,,,,0
K7 / K8,Ordinary Vehicle,Domestic,"2,917","2,165","2,016","1,988","1,873","1,519","1,154","2,711","4,724","4,977","4,336","2,354"
K9,Ordinary Vehicle,Domestic,175,191,140,253,282,160,202,177,163,127,99,240
Seltos,Ordinary Vehicle,Domestic,"3,944","3,967","4,748","5,025","6,120","5,399","5,489","5,551","4,433","6,822","4,887","5,512"
EV3,Ordinary Vehicle,Domestic,,,,,,,"1,975","4,002","2,022","2,107","2,284",461
Niro,Ordinary Vehicle,Domestic,"1,239",940,"1,051","1,815","1,709","1,333","1,199","1,109",870,958,"1,162","1,185"
Niro Plus,Ordinary Vehicle,Domestic,2,0,86,123,67,65,14,43,3,3,1,1
EV6,Ordinary Vehicle,Domestic,29,155,"1,275","1,036","1,380","1,430","1,344",599,324,557,770,155
Sportage,Ordinary Vehicle,Domestic,"5,934","6,991","6,736","7,179","6,644","5,815","6,235","5,988","4,541","5,531","4,233","8,428"
Sorento,Ordinary Vehicle,Domestic,"9,284","8,671","8,974","7,865","7,487","7,307","7,596","3,502","6,628","7,962","10,434","8,828"
Mohave,Ordinary Vehicle,Domestic,291,241,298,257,224,288,197,204,118,98,78,
EV9,Ordinary Vehicle,Domestic,449,124,183,174,182,113,161,92,122,159,144,109
Carnival,Ordinary Vehicle,Domestic,"7,049","7,989","7,643","6,879","7,211","8,097","7,050","5,534","4,900","5,645","7,516","7,235"
Bongo,Ordinary Vehicle,Domestic,"3,074","3,077","4,584","4,404","4,050","3,523","3,487","2,990","2,586","3,183","3,083","2,498"
