Models,Vehicle Type,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
i10 (AC3),PC," 4,120 "," 4,148 "," 5,293 "," 4,120 "," 5,490 "," 6,588 "," 5,534 "," 3,781 "," 6,136 "," 5,257 "," 4,988 "," 3,511 "
i20 (GB),PC, - , - , - , - , - , - , - , - , - , - , - , - 
i20 (BC3),PC," 3,843 "," 3,372 "," 5,506 "," 5,496 "," 5,270 "," 5,266 "," 4,106 "," 3,541 "," 4,922 "," 4,242 "," 3,600 "," 3,395 "
i20 N (BC3 N),PC, 641 , 521 , 947 , 562 , 456 , 340 , 242 , 167 , 110 , 72 , 48 , 53 
Elantra,PC, 51 , 34 , 74 , 118 , 98 , 100 , 246 , 176 , 51 , 64 , 31 , 34 
IONIQ (HEV),PC, - , - , - , - , - , - , - , - , - , - , - , - 
IONIQ (PHEV),PC, - , - , - , - , - , - , - , - , - , - , - , - 
IONIQ (EV),PC, - , - , - , - , - , - , - , - , - , - , - , - 
i30 (PD),PC," 2,695 "," 2,910 "," 3,392 "," 3,294 "," 3,376 "," 2,799 "," 3,166 "," 2,323 "," 2,920 "," 3,326 "," 3,151 "," 2,616 "
i30 (PD N),PC, 493 , 369 , 878 , 630 , 455 , 623 , 106 , 69 , 58 , 32 , 15 , 38 
i40 (VF),PC, - , - , - , - , - , - , - , - , - , - , - , - 
Ioniq6 EV (CE_EV),PC, 683 , 452 , 986 , 591 , 453 , 541 , 370 , 348 , 738 , 398 , 427 , 644 
G80 (DH),PC, - , - , - , - , - , - , - , - , - , - , - , - 
ix20 (JC),RV, - , - , - , - , - , - , - , - , - , - , - , - 
Bayon (BC3 CUV),RV," 2,596 "," 2,431 "," 3,072 "," 2,321 "," 2,625 "," 2,689 "," 1,806 "," 1,490 "," 2,878 "," 2,002 "," 2,501 "," 1,830 "
Casper (AX EV),RV, - , - , - , - , - , - , - , - , - , - , - , 450 
Kona (OS),RV, 5 , 2 , 6 , 2 , 2 , - , - , 1 , - , - , - , - 
Kona (EV),RV, 57 , 22 , 27 , 8 , 2 , 5 , 3 , - , 11 , - , 1 , - 
Kona (Ose- EV),RV, 201 , 666 , 154 , 42 , 40 , 38 , 16 , 4 , 5 , 1 , 3 , 4 
Kona (HEV),RV, 9 , 4 , 2 , 1 , 1 , - , - , - , - , - , 1 , - 
Kona N,RV, 21 , 6 , 5 , 5 , 1 , 1 , - , - , - , - , 3 , - 
Kona (SX2),RV," 1,454 "," 1,503 "," 2,401 "," 1,588 "," 1,722 "," 1,652 "," 1,209 ", 768 ," 1,032 "," 1,124 "," 1,202 ", 839 
Kona (SX2 HEV),RV," 1,779 "," 1,540 "," 2,784 "," 3,449 "," 3,291 "," 3,974 "," 3,240 "," 2,324 "," 3,448 "," 2,784 "," 2,617 "," 2,256 "
Kona (SXe_EV),RV," 1,330 "," 1,817 "," 3,172 "," 2,341 "," 2,347 "," 2,672 "," 2,396 "," 1,904 "," 3,509 "," 2,622 "," 2,021 "," 2,345 "
Tucson (TLe),RV, - , - , - , - , (1), - , - , - , - , - , - , - 
Tucson (NX4e),RV," 3,949 "," 4,372 "," 6,706 "," 4,153 "," 5,081 "," 5,239 "," 4,218 "," 3,048 "," 4,665 "," 4,148 "," 4,811 "," 3,839 "
Tucson (NX4e HEV),RV," 3,725 "," 3,287 "," 6,124 "," 4,289 "," 4,181 "," 5,065 "," 5,024 "," 2,960 "," 6,658 "," 4,637 "," 4,885 "," 4,374 "
Tucson (NX4e PHEV),RV," 1,195 ", 842 ," 1,987 "," 1,227 "," 1,530 "," 1,302 "," 1,164 ", 961 ," 1,599 "," 1,315 "," 1,571 "," 1,252 "
NEXO (FE),RV, - , 2 , - , - , 1 , 1 , 1 , 4 , 1 , - , 1 , - 
IONIQ 5 (NE),RV, 938 , 732 ," 1,415 "," 1,411 "," 1,838 "," 1,823 "," 1,395 ", 817 ," 1,232 ", 814 , 872 ," 1,033 "
IONIQ 5 (NE N),RV, 5 , 303 , 253 , 191 , 151 , 141 , 187 , 173 , 240 , 187 , 265 , 176 
Santa-Fe (DM),RV, - , - , - , - , - , - , - , - , - , - , - , - 
Santa-Fe (TM),RV, 72 , 42 , 47 , 36 , 13 , 13 , 7 , 5 , 2 , - , - , - 
Santa Fe HEV (TM HEV),RV, 170 , 87 , 155 , 60 , 49 , 34 , 13 , - , 8 , 9 , 7 , 7 
Santa Fe PHEV (TM PHEV),RV, 203 , 146 , 123 , 66 , 60 , 55 , 61 , 55 , 17 , 31 , 41 , 17 
Santa Fe HEV (MX5 HEV),RV, - , - , - , - , - , 115 , 304 , 419 , 724 , 496 , 582 , 366 
Santa Fe PHEV (MX5 PHEV),RV, - , - , - , - , 1 , 323 , 288 , 269 , 393 , 357 , 309 , 382 
Light CV,Light CV, 296 , 551 , 447 , 386 , 383 , 274 , 165 , 139 , 67 , 175 , 319 , 72 
