Models,Vehicle Type,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,,,,
i10 (AC3),PC," 4,224 ",,,,,,,,,,,,,,,
i20 (GB),PC, - ,,,,,,,,,,,,,,,
i20 (BC3),PC," 4,167 ",,,,,,,,,,,,,,,
i20 N (BC3 N),PC, 30 ,,,,,,,,,,,,,,,
Elantra,PC, 14 ,,,,,,,,,,,,,,,
IONIQ (HEV),PC, - ,,,,,,,,,,,,,,,
IONIQ (PHEV),PC, - ,,,,,,,,,,,,,,,
IONIQ (EV),PC, - ,,,,,,,,,,,,,,,
Sonata (DN8),PC, - ,,,,,,,,,,,,,,,
i30 (PD),PC," 2,276 ",,,,,,,,,,,,,,,
i30 (PD N),PC, 24 ,,,,,,,,,,,,,,,
i40 (VF),PC, - ,,,,,,,,,,,,,,,
Ioniq6 EV (CE_EV),PC, 249 ,,,,,,,,,,,,,,,
G70,PC, - ,,,,,,,,,,,,,,,
G80 (DH),PC, - ,,,,,,,,,,,,,,,
ix20 (JC),RV, - ,,,,,,,,,,,,,,,
Bayon (BC3 CUV),RV," 1,576 ",,,,,,,,,,,,,,,
Casper (AX EV),RV, 868 ,,,,,,,,,,,,,,,
Venue (QX),RV, - ,,,,,,,,,,,,,,,
Kona (OS),RV, - ,,,,,,,,,,,,,,,
Kona (EV),RV, - ,,,,,,,,,,,,,,,
Kona (Ose- EV),RV, 1 ,,,,,,,,,,,,,,,
Kona (HEV),RV, - ,,,,,,,,,,,,,,,
Kona N,RV, - ,,,,,,,,,,,,,,,
Kona (SX2),RV, 931 ,,,,,,,,,,,,,,,
Kona (SX2 HEV),RV," 2,593 ",,,,,,,,,,,,,,,
Kona (SXe_EV),RV," 1,927 ",,,,,,,,,,,,,,,
Tucson (TLe),RV, - ,,,,,,,,,,,,,,,
Tucson (NX4e),RV," 2,930 ",,,,,,,,,,,,,,,
Tucson (NX4e HEV),RV," 4,042 ",,,,,,,,,,,,,,,
Tucson (NX4e PHEV),RV," 1,477 ",,,,,,,,,,,,,,,
NEXO (FE),RV, - ,,,,,,,,,,,,,,,
IONIQ 5 (NE),RV," 1,210 ",,,,,,,,,,,,,,,
IONIQ 5 (NE N),RV, 190 ,,,,,,,,,,,,,,,
Santa-Fe (DM),RV, - ,,,,,,,,,,,,,,,
Santa-Fe (TM),RV, - ,,,,,,,,,,,,,,,
Santa Fe HEV (TM HEV),RV, - ,,,,,,,,,,,,,,,
Santa Fe PHEV (TM PHEV),RV, 39 ,,,,,,,,,,,,,,,
SantaFe (MX5),RV, - ,,,,,,,,,,,,,,,
Santa Fe HEV (MX5 HEV),RV, 483 ,,,,,,,,,,,,,,,
Santa Fe PHEV (MX5 PHEV),RV, 483 ,,,,,,,,,,,,,,,
Palisade (LX2),RV, - ,,,,,,,,,,,,,,,
GV60 (JW EV),RV, - ,,,,,,,,,,,,,,,
GV70 (JK),RV, - ,,,,,,,,,,,,,,,
GV70 EV (JK EV),RV, - ,,,,,,,,,,,,,,,
GV80 (JX),RV, - ,,,,,,,,,,,,,,,
Light CV,Light CV, 148 ,,,,,,,,,,,,,,,
