Models,Vehicle Type,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,,,,
i10 (AC3),PC," 4,791 "," 3,820 "," 5,365 "," 3,514 "," 4,714 "," 5,812 "," 4,593 "," 2,961 "," 4,762 "," 3,965 "," 4,564 "," 3,953 ",,,,
i20 (GB),PC, - , - , - , - , - , - , - , - , - , - , - , - ,,,,
i20 (BC3),PC," 3,100 "," 3,221 "," 5,174 "," 4,437 "," 4,722 "," 4,607 "," 4,908 "," 3,119 "," 4,747 "," 3,872 "," 3,459 "," 3,041 ",,,,
i20 N (BC3 N),PC, 202 , 194 , 600 , 360 , 444 , 342 , 298 , 379 , 663 , 592 , 597 , 634 ,,,,
Elantra,PC, 117 , 131 , 108 , 181 , 147 , 237 , 198 , 90 , 40 , 31 , 80 , 30 ,,,,
IONIQ (HEV),PC, 54 , 17 , 34 , 12 , 19 , - , 2 , - , - , - , - , - ,,,,
IONIQ (PHEV),PC, 12 , 2 , 6 , 1 , 1 , 1 , 2 , - , 3 , - , - , - ,,,,
IONIQ (EV),PC, 76 , 3 , 74 , 12 , - , 2 , - , - , 2 , - , 5 , 1 ,,,,
i30 (PD),PC," 3,348 "," 2,848 "," 3,549 "," 3,083 "," 3,064 "," 3,300 "," 2,765 "," 2,188 "," 2,885 "," 2,689 "," 2,983 "," 2,557 ",,,,
i30 (PD N),PC, 408 , 320 , 506 , 431 , 474 , 289 , 281 , 241 , 434 , 405 , 390 , 451 ,,,,
i40 (VF),PC, - , - , - , - , - , - , - , - , - , - , - , - ,,,,
Ioniq6 EV (CE_EV),PC, 267 , 803 , 865 ," 1,084 ", 827 , 893 ," 1,067 "," 1,505 ", 910 , 862 , 804 , 932 ,,,,
G80 (DH),PC, - , - , - , - , - , - , - , - , - , - , - , - ,,,,
ix20 (JC),RV, - , - , - , - , - , - , - , - , - , - , - , - ,,,,
Bayon (BC3 CUV),RV," 1,521 "," 1,846 "," 2,840 "," 1,343 "," 2,241 "," 2,749 "," 1,773 "," 1,704 "," 2,755 "," 2,905 "," 3,566 "," 2,550 ",,,,
Kona (OS),RV," 1,701 "," 1,563 "," 2,640 "," 2,217 "," 1,729 "," 2,831 ", 753 , 318 , 210 , 69 , 48 , 17 ,,,,
Kona (OS EV),RV, 536 , 336 ," 1,170 ", 818 , 666 , 664 , 507 , 297 , 607 , 221 , 179 , 62 ,,,,
Kona (Ose- EV),RV," 1,158 "," 1,812 "," 2,731 "," 1,803 "," 2,134 "," 2,635 "," 2,561 "," 2,318 "," 1,619 "," 1,008 ", 586 , 679 ,,,,
Kona (OS HEV),RV," 2,080 "," 1,564 "," 2,151 "," 1,541 "," 1,654 "," 1,570 ", 398 , 149 , 123 , 84 , 32 , 15 ,,,,
Kona N (OS N),RV, 164 , 120 , 339 , 471 , 329 , 108 , 86 , 67 , 105 , 98 , 79 , 68 ,,,,
Kona (SX2),RV, - , - , - , - , 3 , 487 , 839 , 844 ," 1,598 "," 1,518 "," 2,093 "," 1,553 ",,,,
Kona (SX2 HEV),RV, - , - , - , - , 89 , 811 ," 1,525 "," 1,528 "," 2,758 "," 2,932 "," 2,218 "," 2,526 ",,,,
Kona (SXe_EV),RV, - , - , - , - , - , - , - , 528 , 706 , 918 ," 1,547 "," 1,409 ",,,,
Tucson (TLe),RV, - , - , - , - , - , - , - , - , - , - , - , - ,,,,
Tucson (NX4e),RV," 3,622 "," 4,449 "," 7,501 "," 4,779 "," 5,322 "," 5,966 "," 5,377 "," 3,039 "," 5,698 "," 5,432 "," 5,219 "," 4,874 ",,,,
Tucson (NX4e HEV),RV," 3,373 "," 3,959 "," 6,497 "," 4,423 "," 4,543 "," 5,291 "," 3,606 "," 2,228 "," 5,608 "," 4,269 "," 4,501 "," 4,105 ",,,,
Tucson (NX4e PHEV),RV," 1,476 "," 1,322 "," 2,201 "," 1,934 "," 2,120 "," 2,166 "," 1,331 ", 908 ," 1,640 "," 1,771 "," 1,741 "," 1,394 ",,,,
NEXO (FE),RV, 44 , 2 , 9 , 6 , 5 , 16 , 9 , - , 1 , 2 , 2 , 1 ,,,,
IONIQ 5 (NE),RV," 2,331 "," 1,811 "," 1,972 "," 2,220 "," 2,188 "," 2,400 "," 2,040 "," 2,213 "," 1,987 "," 1,928 "," 1,403 "," 1,414 ",,,,
Santa-Fe (DM),RV, - , - , - , - , - , - , - , - , - , - , - , - ,,,,
Santa-Fe (TM),RV, 230 , 320 , 387 , 260 , 258 , 230 , 161 , 181 , 205 , 371 , 198 , 105 ,,,,
Santa Fe HEV (TM HEV),RV, 467 , 307 , 486 , 377 , 306 , 460 , 344 , 266 , 512 , 336 , 264 , 204 ,,,,
Santa Fe PHEV (TM PHEV),RV, 200 , 127 , 161 , 272 , 355 , 498 , 330 , 281 , 483 , 365 , 270 , 244 ,,,,
Light CV,Light CV, 221 , 290 , 366 , 216 , 217 , 611 , 307 , 268 , 525 , 289 , 357 , 414 ,,,,
