Region,Continent,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
U.S.A,North America," 33,157 "," 44,040 "," 44,161 "," 43,894 "," 51,132 "," 47,682 "," 46,768 "," 46,840 "," 49,241 "," 57,589 "," 58,435 "," 58,183 "
Canada,North America," 9,824 "," 11,958 "," 11,464 "," 10,792 "," 10,478 "," 11,495 "," 8,383 "," 6,155 "," 6,143 "," 9,776 "," 10,729 "," 11,805 "
Mexico,North America, 8 , 82 , 57 , 45 , 69 , 31 , 202 , 216 , 75 , 130 , 200 , 112 
Europe Subsidiaries,Europe," 8,949 "," 14,775 "," 12,550 "," 11,058 "," 12,274 "," 13,248 "," 8,080 "," 5,970 "," 6,476 "," 6,753 "," 7,476 "," 6,762 "
Europe Distributors,Europe," 2,127 "," 1,526 "," 2,525 "," 3,539 "," 2,940 "," 2,913 "," 3,767 "," 3,675 "," 3,059 "," 3,625 "," 2,046 "," 2,875 "
Turkey,Europe, 389 , 854 , 653 , 913 ," 1,096 "," 1,096 "," 1,421 ", 870 , 870 ," 1,110 "," 1,102 ", 805 
Latin America,Others," 3,896 "," 5,092 "," 4,954 "," 5,758 "," 4,294 "," 5,538 "," 4,700 "," 4,796 "," 4,068 "," 5,022 "," 3,691 "," 4,547 "
Russia/CIS,Others," 2,146 "," 2,220 "," 1,945 "," 2,991 "," 2,672 "," 2,541 "," 2,157 "," 2,498 "," 1,734 "," 2,211 "," 2,063 "," 1,916 "
Middle East/Africa,Others," 10,427 "," 10,128 "," 12,760 "," 11,043 "," 9,118 "," 8,908 "," 9,410 "," 8,890 "," 5,963 "," 8,258 "," 6,651 "," 8,346 "
Asia/Pacific,Others," 11,288 "," 7,295 "," 8,997 "," 10,570 "," 10,678 "," 10,496 "," 10,563 "," 9,940 "," 4,984 "," 10,793 "," 7,556 "," 7,712 "
