Overseas Plants,Model,Sales Type,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
HMI, Santro (AH2),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
HMI, Xcent (BA 4DR),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
HMI, Aura (AI3 4DR),Domestic," 4,634 "," 5,524 "," 3,774 "," 5,085 "," 4,707 "," 4,907 "," 4,514 "," 4,892 "," 3,900 "," 4,096 "," 3,850 "," 3,812 "
HMI, NIOS (AI3 5DR),Domestic," 8,760 "," 9,635 "," 9,304 "," 6,839 "," 6,385 "," 6,321 "," 5,337 "," 7,306 "," 5,223 "," 6,552 "," 4,708 "," 5,247 "
HMI, i20 (BI3 5DR),Domestic," 8,185 "," 9,287 "," 6,596 "," 6,472 "," 6,094 "," 6,162 "," 5,001 "," 4,896 "," 6,481 "," 7,212 "," 5,727 "," 4,574 "
HMI, Verna (Hci),Domestic, 995 , 47 , - , - , - , - , - , - , - , - , - , - 
HMI, Verna (BN7i),Domestic, - , - ," 3,755 "," 4,001 "," 3,687 "," 4,001 "," 2,858 "," 2,576 "," 2,610 "," 2,313 "," 1,701 ", 712 
HMI,Exter (AI3 SUV),Domestic, - , - , - , - , - , - ," 7,000 "," 7,430 "," 8,647 "," 8,097 "," 8,325 "," 7,514 "
HMI, Venue (QXi),Domestic," 10,738 "," 9,997 "," 10,024 "," 10,342 "," 10,213 "," 11,606 "," 10,062 "," 10,948 "," 12,204 "," 11,581 "," 11,180 "," 10,383 "
HMI, Creta (SU2i),Domestic," 15,037 "," 10,421 "," 14,026 "," 14,186 "," 14,449 "," 14,447 "," 14,062 "," 13,832 "," 12,717 "," 13,077 "," 11,814 "," 9,243 "
HMI, Creta (SU2i LWB),Domestic," 1,537 "," 1,559 "," 2,519 "," 2,037 "," 2,443 "," 2,119 "," 1,443 "," 1,493 "," 1,977 "," 1,837 "," 1,913 ", 954 
HMI, Kona EV (OSi EV),Domestic, 40 , - , - , - , 84 , 75 , 60 , 91 , 69 , 44 , 19 , 19 
HMI,IONIQ5 (NEi),Domestic, - , 33 , 21 , 189 , 160 , 100 , 125 , 130 , 176 , 117 , 96 , 81 
HMI, Tucson (TLi),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
HMI, Tucson (NX4i),Domestic, 180 , 498 , 581 , 550 , 379 , 263 , 239 , 236 , 237 , 202 , 118 , 209 
HMI, Santro (AH2),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMI,Xcent(BA 4DR),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMI,Xcent(BA 5DR),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMI, Aura (AI3 4DR),Export," 1,099 ", 727 ," 2,311 "," 1,149 "," 1,039 "," 2,703 "," 2,963 "," 3,023 "," 4,124 "," 3,526 "," 3,083 "," 2,955 "
HMI, NIOS (AI3 5DR),Export," 1,727 "," 2,425 "," 1,447 ", 798 ," 2,307 "," 3,515 "," 4,448 "," 4,421 "," 3,803 "," 3,474 "," 3,946 "," 3,333 "
HMI, i20 (BI3 5DR),Export," 1,117 ", 427 , 276 , 286 , 410 , 851 , 856 ," 1,169 ", 675 , 880 , 39 , 83 
HMI, Verna (Hci),Export," 3,509 "," 2,243 "," 3,291 "," 3,973 "," 5,198 "," 3,149 ", 8 , - , - , - , - , - 
HMI, Verna (BN7i),Export, - , - , - , - , 1 ," 2,485 "," 5,100 "," 5,403 "," 5,482 "," 3,663 "," 6,977 "," 5,886 "
