Model,Vehicle Type,Sales Type,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
Avante (CN7),PC,Domestic," 5,241 "," 5,430 "," 5,466 "," 5,123 "," 5,191 "," 4,556 "," 3,534 "," 4,193 "," 3,739 "," 4,246 "," 4,760 "," 4,196 "
Avante (CN7 HEV),PC,Domestic, 777 , 827 ," 1,070 ", 120 ," 1,365 ", 742 , 466 , 402 , 407 , 640 , 953 , 794 
Avante (CN7 N),PC,Domestic, 82 , 79 , 83 , 35 , 43 , 20 , 2 , 163 , 221 , 131 , 115 , 152 
IONIQ (AE HEV),PC,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
IONIQ (AE PHEV),PC,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
IONIQ (AE EV),PC,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Veloster (JS N),PC,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Sonata (LF),PC,Domestic, 996 ," 1,012 "," 1,230 "," 1,603 ", 901 ," 1,162 ", 673 , 401 , 407 , 303 , 321 , 310 
Sonata (DN8),PC,Domestic," 1,189 ", 842 , 608 , 422 ," 1,432 "," 2,258 "," 1,588 "," 1,856 "," 1,869 "," 3,537 "," 3,498 "," 3,612 "
Sonata (DN8 HEV),PC,Domestic, 354 , 386 , 377 , 207 , 297 , 693 , 554 , 744 , 671 ," 1,009 "," 1,076 "," 1,243 "
Grandeur (IG),PC,Domestic, 11 , 2 , - , - , - , - , - , - , - , - , - , - 
Grandeur (IG HEV),PC,Domestic, 2 , - , - , - , - , - , - , - , - , - , - , - 
Grandeur (GN7),PC,Domestic," 5,407 "," 5,419 "," 5,561 "," 4,818 "," 4,684 "," 4,012 "," 3,409 "," 3,492 "," 3,509 "," 3,913 "," 3,308 "," 3,610 "
Grandeur (GN7 HEV),PC,Domestic," 3,711 "," 4,396 "," 5,355 "," 5,179 "," 6,897 "," 7,516 "," 5,122 "," 5,328 "," 4,650 "," 4,279 "," 4,672 "," 4,800 "
IONIQ 6 (CE),PC,Domestic, 23 ," 1,632 "," 2,200 "," 1,316 "," 1,117 ", 491 , 488 , 400 , 344 , 472 , 618 , 183 
G70 (IK),PC,Domestic, 268 , 195 , 390 , 356 , 215 , 429 , 529 , 423 , 364 , 257 , 251 , 255 
G70 S/B (IK S/B),PC,Domestic, 49 , 25 , 76 , 23 , 33 , 40 , 30 , 34 , 20 , 21 , 16 , 21 
G80 (RG3),PC,Domestic," 4,052 "," 4,268 "," 4,356 "," 4,407 "," 4,701 "," 4,647 "," 3,169 "," 2,855 "," 2,765 "," 1,931 "," 2,956 "," 2,092 "
G80 (RG3 EV),PC,Domestic, 5 , 22 , 314 , 166 , 112 , 71 , 83 , 68 , 54 , 38 , 67 , 37 
G90 (HI),PC,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
G90 (RS4),PC,Domestic, 944 , 835 ," 1,120 "," 1,023 "," 1,417 "," 1,629 "," 1,102 "," 1,054 ", 836 , 646 , 719 ," 1,154 "
Casper (AX),RV,Domestic," 3,070 "," 3,164 "," 3,248 "," 3,420 "," 4,064 "," 3,900 "," 3,706 "," 3,804 "," 3,705 "," 3,648 "," 5,701 "," 4,021 "
Venue (QX),RV,Domestic, 646 , 492 , 526 , 449 , 511 , 952 , 546 , 904 , 771 ," 1,182 ", 776 , 526 
Kona (OS),RV,Domestic, 47 , 3 , 2 , 1 , - , - , - , - , - , - , - , - 
Kona (OS HEV),RV,Domestic, 186 , 95 , 52 , 24 , 10 , 28 , 6 , - , - , - , - , - 
Kona (OS EV),RV,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Kona (OS N),RV,Domestic, 1 , - , - , - , - , - , - , - , - , - , - , - 
Kona (SX2),RV,Domestic, 620 ," 3,127 "," 3,758 "," 2,370 "," 1,474 "," 1,529 "," 1,564 "," 1,187 "," 1,237 "," 1,326 "," 1,323 "," 1,218 "
Kona (SX2 HEV),RV,Domestic, - , - , 989 ," 1,653 ", 974 , 941 , 836 ," 1,153 "," 1,056 "," 1,271 "," 1,454 ", 682 
Kona (SX2 EV),RV,Domestic, - , - , - , - , 64 , 664 , 238 , 355 , 208 , 337 , 432 , 212 
Tucson (TL),RV,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Tucson (NX4),RV,Domestic," 2,044 "," 1,955 "," 2,454 "," 2,409 "," 2,544 "," 2,755 "," 1,546 "," 1,659 "," 1,785 "," 1,922 "," 1,827 "," 1,883 "
Tucson (NX4 HEV),RV,Domestic," 1,592 "," 1,606 "," 1,782 "," 1,703 "," 1,697 "," 1,686 "," 1,644 "," 1,317 "," 1,341 "," 1,510 "," 1,378 "," 1,705 "
NEXO (FE),RV,Domestic, 307 , 884 , 694 , 327 , 410 , 305 , 371 , 293 , 237 , 189 , 232 , 79 
IONIQ 5 (NE),RV,Domestic, 76 ," 1,911 "," 1,701 "," 2,123 "," 2,396 "," 1,297 "," 1,350 "," 1,061 ", 612 ," 1,376 "," 1,669 ", 763 
IONIQ 5 N (NE N),RV,Domestic, - , - , - , - , - , - , - , - , 93 , 95 , 54 , 28 
Santa-Fe (TM),RV,Domestic," 1,063 "," 1,240 "," 1,054 "," 1,136 "," 1,310 "," 1,323 ", 963 , 968 , 263 , 161 , 79 , 54 
Santa-Fe (TM HEV),RV,Domestic," 1,061 "," 1,536 "," 1,923 "," 1,638 "," 1,247 "," 2,030 "," 1,112 "," 1,257 ", 547 , 224 , 44 , 1 
Santa-Fe (MX5),RV,Domestic, - , - , - , - , - , - , - , 550 ," 4,329 "," 3,277 "," 1,708 "," 2,011 "
Santa-Fe (MX5 HEV),RV,Domestic, - , - , - , - , - , - , - , - , - ," 4,669 "," 6,949 "," 5,616 "
Palisade (LX2),RV,Domestic," 3,922 "," 3,539 "," 4,820 "," 4,096 "," 3,553 "," 3,164 "," 3,264 "," 3,752 "," 2,935 "," 2,825 "," 3,157 "," 2,066 "
GV60 (JW),RV,Domestic, 7 , 210 , 716 , 530 , 598 , 422 , 227 , 127 , 104 , 111 , 96 , 50 
GV70 (JK),RV,Domestic," 1,146 "," 2,291 "," 2,675 "," 2,446 "," 2,288 "," 3,781 "," 3,209 "," 2,833 "," 2,743 "," 3,467 "," 2,819 "," 2,617 "
GV70 (JK EV),RV,Domestic, 3 , 177 , 302 , 320 , 327 , 247 , 206 , 94 , 121 , 240 , 91 , 31 
GV80 (JX),RV,Domestic," 1,881 "," 1,673 "," 2,786 "," 2,916 "," 2,737 "," 2,572 "," 1,900 "," 1,692 "," 1,507 ", 885 ," 3,874 "," 4,437 "
LCV,CV,Domestic," 9,542 "," 14,515 "," 14,262 "," 12,475 "," 11,628 "," 11,751 "," 11,912 "," 8,927 "," 8,414 "," 11,843 "," 12,597 "," 9,589 "
HCV,CV,Domestic," 1,178 "," 1,227 "," 2,579 "," 1,826 "," 2,443 "," 2,550 "," 2,154 "," 2,209 "," 2,047 "," 2,347 "," 2,468 "," 2,124 "
Avante (CN7),PC,Export," 13,012 "," 15,452 "," 14,486 "," 14,714 "," 14,232 "," 15,191 "," 13,160 "," 13,015 "," 11,833 "," 15,295 "," 14,959 "," 14,060 "
Avante (CN7 HEV),PC,Export," 2,492 "," 2,792 "," 2,794 "," 3,416 "," 2,671 "," 2,715 "," 2,857 "," 2,574 "," 2,615 "," 2,929 "," 2,776 "," 3,758 "
Avante (CN7 N),PC,Export, 719 , 450 , 307 , 584 , 382 , 681 , 234 , 119 , 377 , 553 , 586 , 205 
IONIQ (AE HEV),PC,Export, - , - , - , - , - , - , - , - , - , - , - , - 
IONIQ (AE PHEV),PC,Export, - , - , - , - , - , - , - , - , - , - , - , - 
IONIQ (AE EV),PC,Export, - , - , - , - , - , - , - , - , - , - , - , - 
i30 (PD),PC,Export," 1,564 "," 1,107 "," 1,523 "," 1,863 "," 1,070 "," 1,280 "," 1,452 "," 1,538 ", 493 ," 1,278 ", 699 ," 1,412 "
Veloster (JS N),PC,Export, - , - , - , - , - , - , - , - , - , - , - , - 
Sonata (DN8),PC,Export," 3,376 "," 3,555 "," 3,890 "," 3,482 "," 3,756 "," 2,425 "," 4,104 "," 2,344 "," 3,329 "," 5,038 "," 7,335 "," 6,791 "
Sonata (DN8 HEV),PC,Export," 1,292 "," 1,029 "," 1,834 "," 1,687 "," 1,408 "," 1,099 "," 1,316 "," 1,383 "," 1,334 "," 1,846 "," 1,732 "," 1,097 "
Grandeur (IG),PC,Export, 1 , - , - , - , - , - , - , - , - , - , - , - 
Grandeur (IG HEV),PC,Export, - , - , - , - , - , - , - , - , - , - , - , - 
Grandeur (GN7),PC,Export, - , 538 , 546 , 509 , 306 , 509 , 160 , 304 , 90 , 31 , 183 , 101 
Grandeur (GN7 HEV),PC,Export, - , - , - , - , - , - , - , 25 , - , - , 11 , 108 
IONIQ 6 (CE),PC,Export," 3,818 "," 4,931 "," 6,261 "," 3,275 "," 3,728 "," 5,913 "," 4,065 "," 3,217 "," 3,272 "," 2,800 "," 2,572 "," 1,688 "
G70 (IK),PC,Export," 1,201 "," 1,413 "," 1,825 "," 1,589 "," 1,452 "," 1,224 "," 1,223 "," 1,314 "," 1,182 "," 1,351 "," 2,539 ", 778 
G70 S/B (IK S/B),PC,Export, 21 , 5 , 33 , 12 , 27 , 2 , 8 , - , 13 , 39 , 7 , 16 
G80 (RG3),PC,Export, 581 , 529 , 710 , 665 , 893 , 613 , 639 , 739 , 551 ," 1,097 ", 634 , 694 
G80 (RG3 EV),PC,Export, 150 , 158 , 169 , 179 , 57 , 55 , 91 , 118 , 39 , 88 , 91 , 62 
G90 (HI),PC,Export, - , - , - , - , - , - , - , - , - , - , - , - 
G90 (RS4),PC,Export, 207 , 136 , 136 , 206 , 130 , 82 , 69 , 252 , 119 , 273 , 240 , 171 
Venue (QX),RV,Export," 5,273 "," 5,843 "," 6,061 "," 7,467 "," 5,955 "," 5,043 "," 5,043 "," 4,529 "," 4,019 "," 4,705 "," 4,874 "," 7,252 "
Kona (OS),RV,Export," 8,347 "," 9,277 "," 9,179 "," 8,510 "," 10,064 "," 6,556 "," 5,088 ", 486 , - , - , - , - 
Kona (OS HEV),RV,Export," 1,668 "," 2,110 "," 2,261 "," 2,767 ", 166 , 27 , - , - , - , - , - , - 
Kona (OS EV),RV,Export," 2,299 "," 3,323 "," 3,115 "," 2,748 ", 991 ," 3,437 "," 2,149 ", 200 , 124 , 2 , - , - 
Kona N (OS N),RV,Export, 662 , 901 , 454 , 608 , 86 , 57 , - , - , - , - , - , - 
Kona (SX2),RV,Export, - , 2 , - ," 1,064 "," 5,040 "," 5,057 "," 6,481 "," 13,311 "," 12,746 "," 15,416 "," 15,824 "," 15,437 "
Kona (SX2 HEV),RV,Export, 1 , - , 1 , 622 ," 5,399 "," 4,588 "," 2,779 "," 3,451 "," 3,199 "," 4,003 "," 2,819 "," 3,523 "
Kona (SX2 EV),RV,Export, - , - , 15 , - , 3 , 1 , - , 81 , 172 ," 1,962 "," 1,974 "," 1,602 "
Tucson (TL),RV,Export, - , - , - , - , - , - , - , - , - , - , - , - 
