Models,Vehicle Type,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
Accent,PC,16 ,12 ,2 ,- ,- ,- ,1 ,- ,- ,- ,- ,- 
Veloster,PC,3 ,1 ,1 ,1 ,- ,- ,- ,- ,- ,- ,- ,- 
Elantra,PC,"8,655 ","10,371 ","13,447 ","13,236 ","15,605 ","13,424 ","11,898 ","11,262 ","9,405 ","9,456 ","8,813 ","8,577 "
IONIQ,PC,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Sonata,PC,"4,873 ","4,307 ","5,310 ","4,689 ","4,321 ","3,834 ","3,209 ","3,397 ","3,401 ","2,460 ","2,321 ","3,222 "
G70,PC,804 ,719 ,"1,057 ","1,139 ","1,156 ","1,353 ","1,310 ","1,394 ","1,751 ",982 ,684 ,897 
G80 (RG3),PC,226 ,172 ,296 ,383 ,370 ,768 ,400 ,186 ,300 ,369 ,322 ,378 
G80 (RG3 EV),PC,33 ,32 ,315 ,94 ,120 ,119 ,227 ,107 ,137 ,103 ,16 ,26 
G90,PC,105 ,111 ,140 ,120 ,113 ,114 ,108 ,119 ,92 ,68 ,125 ,130 
Venue,RV,"2,441 ","2,537 ","3,625 ","2,648 ","2,413 ","2,695 ","2,581 ","2,197 ","1,732 ","1,757 ","1,716 ","1,667 "
Kona,RV,"5,826 ","6,080 ","7,314 ","6,831 ","5,613 ","6,261 ","6,123 ","5,777 ","6,693 ","7,927 ","6,991 ","7,680 "
Tucson,RV,"12,028 ","14,031 ","20,111 ","18,676 ","18,038 ","17,707 ","17,534 ","16,242 ","18,813 ","15,638 ","21,382 ","19,424 "
Santa Cruz(Tucson O/B),RV,"2,614 ","2,868 ","3,825 ","3,590 ","3,526 ","3,627 ","2,903 ","3,079 ","3,051 ","2,555 ","2,396 ","2,641 "
Nexo,RV,16 ,28 ,21 ,16 ,16 ,8 ,34 ,18 ,16 ,23 ,20 ,25 
IONIQ 5,RV,"1,548 ","2,074 ","2,114 ","2,323 ","2,446 ","3,136 ","4,135 ","3,572 ","3,958 ","2,979 ","2,372 ","3,261 "
IONIQ 6,RV,- ,- ,222 ,890 ,971 ,"1,162 ","1,745 ","1,663 ","1,665 ","1,239 ","1,386 ","2,056 "
Santa Fe,RV,"7,297 ","7,993 ","13,236 ","10,953 ","10,039 ","11,624 ","10,612 ","11,732 ","12,676 ","9,700 ","13,497 ","12,215 "
Palisade,RV,"6,684 ","6,742 ","6,176 ","6,959 ","7,013 ","5,873 ","5,752 ","6,107 ","7,551 ","7,071 ","9,185 ","14,396 "
GV60,RV,129 ,171 ,212 ,267 ,276 ,265 ,261 ,258 ,379 ,353 ,434 ,395 
GV70,RV,"1,401 ","1,762 ","2,100 ","2,219 ","2,047 ","1,745 ","2,416 ","2,293 ","1,828 ","1,885 ","2,028 ","2,590 "
GV70 EV,RV,- ,- ,45 ,161 ,187 ,133 ,109 ,158 ,166 ,174 ,294 ,247 
GV80,RV,"1,207 ","1,241 ","1,491 ","1,474 ","1,336 ","1,506 ","1,499 ","1,938 ","1,991 ","1,790 ","2,084 ","2,140 "
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
