Models,Vehicle Type,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
Accent,PC,- ,,,,,,,,,,,
Veloster,PC,- ,,,,,,,,,,,
Elantra,PC,"8,866 ",,,,,,,,,,,
IONIQ,PC,- ,,,,,,,,,,,
Sonata,PC,"4,757 ",,,,,,,,,,,
G70,PC,642 ,,,,,,,,,,
G80 (RG3),PC,257 ,,,,,,,,,,,
G80 (RG3 EV),PC,20 ,,,,,,,,,,,
G90,PC,119 ,,,,,,,,,,,
Venue,RV,"1,600 ",,,,,,,,,,,
Kona,RV,"4,365 ",,,,,,,,,,,
Tucson,RV,"15,025 ",,,,,,,,,,,
Santa Cruz(Tucson O/B),RV,"1,786 ",,,,,,,,,,,
Nexo,RV,- ,,,,,,,,,,,
IONIQ 5,RV,"2,249 ",,,,,,,,,,,
IONIQ 5 Robo Taxi,RV,1 ,,,,,,,,,,,
IONIQ 6,RV,871 ,,,,,,,,,,,
Santa Fe,RV,"8,296 ",,,,,,,,,,,
Palisade,RV,"6,687 ",,,,,,,,,,,
GV60,RV,189 ,,,,,,,,,,,
GV70,RV,"1,826 ",,,,,,,,,,,
GV70 EV,RV,195 ,,,,,,,,,,,
GV80,RV,"1,604 ",,,,,,,,,,,
